client_id,clip_applied,clip_factor,communication_compressed_bytes,communication_original_bytes,communication_precision,communication_reduction_percentage,communication_sparsification_enabled,communication_sparsity_ratio,noise_scale,num_samples,privacy_enabled,privacy_overhead_time,round_num,train_accuracy,train_loss,training_time,val_accuracy,val_loss
3,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004527091979980469,0,0.193,2.252464516321818,0.9917221069335938,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004548072814941406,0,0.17933333333333334,2.2545677814483644,0.9907758235931396,,
8,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004456043243408203,0,0.191,2.257114065170288,0.9992623329162598,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004354715347290039,0,0.17333333333333334,2.2520830198923747,0.9923751354217529,,
16,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004396200180053711,0,0.18666666666666668,2.252507121404012,0.9870429039001465,,
4,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.0048160552978515625,1,0.285,2.0832399587631225,1.0021800994873047,,
3,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.0043849945068359375,1,0.275,2.084363900820414,0.9858570098876953,,
17,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.0044901371002197266,1,0.26766666666666666,2.104240126609802,0.9811201095581055,,
2,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.005137920379638672,1,0.276,2.0875467964808148,0.9804141521453857,,
13,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004633188247680664,1,0.2826666666666667,2.0887864151000977,0.9800336360931396,,
1,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004490852355957031,2,0.413,1.6962577533721923,1.0116090774536133,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.0043849945068359375,2,0.412,1.7085816326141356,1.00394606590271,,
2,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004492759704589844,2,0.4056666666666667,1.7221627028783162,0.9904670715332031,,
6,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004621028900146484,2,0.4106666666666667,1.7075374371210734,1.0080580711364746,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004369258880615234,2,0.41133333333333333,1.694548838297526,0.9991569519042969,,
16,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004355907440185547,3,0.49433333333333335,1.4717050046920777,0.9859299659729004,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004393100738525391,3,0.4786666666666667,1.4823781423568725,1.0094783306121826,,
17,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.00439000129699707,3,0.49,1.452761966387431,1.0182170867919922,,
6,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004394054412841797,3,0.5046666666666667,1.470719975789388,0.9890649318695068,,
13,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004806041717529297,3,0.498,1.4499620043436685,1.0018880367279053,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004449129104614258,4,0.5326666666666666,1.35966503683726,0.9863936901092529,,
14,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004478931427001953,4,0.5383333333333333,1.3584042901992799,0.9946961402893066,,
8,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004407644271850586,4,0.5263333333333333,1.3883336594899496,1.0019309520721436,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004369974136352539,4,0.5293333333333333,1.3894261039098104,1.0031588077545166,,
5,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.05,3000,True,0.004446744918823242,4,0.5353333333333333,1.3309427293141682,0.9799082279205322,,
